Date,High school of less,Associates degree,Bachelors degree or higher,Overall,16-24,25-54,55+,Overall.1,Male,Female,Overall.2,Professional and management,Service,OPTICS,Overall.3,Construction and mining,Education and health,Finance and business services,Leisure and hospitality and other services,Manufacturing,Public administration,Trade and transportation,Overall.4,New England,Middle Atlantic,East North Central,West North Central,South Atlantic,East South Central,West South Central,Mountain,Pacific,Overall.5,Usually Full-time,Usually Part-time,Overall.6,Job Stayer,Job Switcher,Overall.7,MSA,non-MSA,Overall.8,Lowest quartile of wage distribution,2nd quartile of wage distribution,3rd quartile of wage distribution,Highest quartile of wage distribution,Overall.9,Lowest half of wage distribution,Upper half of wage distribution,Paid Hourly,Not Paid Hourly,Overall.10,Overall.11,Overall: Weighted,Overall: Weighted 97,Overall.12,Services,Full-time,College degree,Age 25-54,Female.1,Male.1,Job Stayer.1,Job Switcher.1,Paid Hourly.1,Overall: Weighted.1,Overall: Weighted 97.1,Overall: Weekly Basis,Overall: 25/20 trimmed mean,Lower 1/2 of wage distn,Upper 1/2 of wage distn,3MonthInterestRate,MoM Change,Employment_Rate,PresParty,SenParty,HouseParty,TrifectaFlag,FedMinWage,GDP_AnnualGrowth,Year
1986-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.44816999999999,Republican,Republican,Democrat,,$3.35,3.50%,1986.0
1986-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.24161,Republican,Republican,Democrat,,$3.35,3.50%,1986.0
1986-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.43467,Republican,Republican,Democrat,,$3.35,3.50%,1986.0
1986-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.35053,Republican,Republican,Democrat,,$3.35,3.50%,1986.0
1986-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.42768000000001,Republican,Republican,Democrat,,$3.35,3.50%,1986.0
1986-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.72192,Republican,Republican,Democrat,,$3.35,3.50%,1986.0
1986-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.78622,Republican,Republican,Democrat,,$3.35,3.50%,1986.0
1986-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.88585,Republican,Republican,Democrat,,$3.35,3.50%,1986.0
1986-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.85452,Republican,Republican,Democrat,,$3.35,3.50%,1986.0
1986-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.97731999999999,Republican,Republican,Democrat,,$3.35,3.50%,1986.0
1986-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.969,Republican,Republican,Democrat,,$3.35,3.50%,1986.0
1986-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.09,Republican,Republican,Democrat,,$3.35,3.50%,1986.0
1987-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.15294,Republican,Democrat,Democrat,,$3.35,3.50%,1987.0
1987-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.28275,Republican,Democrat,Democrat,,$3.35,3.50%,1987.0
1987-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.316,Republican,Democrat,Democrat,,$3.35,3.50%,1987.0
1987-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.50910999999999,Republican,Democrat,Democrat,,$3.35,3.50%,1987.0
1987-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.8141,Republican,Democrat,Democrat,,$3.35,3.50%,1987.0
1987-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.59573,Republican,Democrat,Democrat,,$3.35,3.50%,1987.0
1987-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.79816,Republican,Democrat,Democrat,,$3.35,3.50%,1987.0
1987-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.9998,Republican,Democrat,Democrat,,$3.35,3.50%,1987.0
1987-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.91298,Republican,Democrat,Democrat,,$3.35,3.50%,1987.0
1987-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.10712,Republican,Democrat,Democrat,,$3.35,3.50%,1987.0
1987-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.16384000000001,Republican,Democrat,Democrat,,$3.35,3.50%,1987.0
1987-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.29101,Republican,Democrat,Democrat,,$3.35,3.50%,1987.0
1988-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.31944,Republican,Democrat,Democrat,,$3.35,4.20%,1988.0
1988-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.37463000000001,Republican,Democrat,Democrat,,$3.35,4.20%,1988.0
1988-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.28188,Republican,Democrat,Democrat,,$3.35,4.20%,1988.0
1988-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.51935999999999,Republican,Democrat,Democrat,,$3.35,4.20%,1988.0
1988-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.33422,Republican,Democrat,Democrat,,$3.35,4.20%,1988.0
1988-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.58801,Republican,Democrat,Democrat,,$3.35,4.20%,1988.0
1988-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.67727,Republican,Democrat,Democrat,,$3.35,4.20%,1988.0
1988-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.79445,Republican,Democrat,Democrat,,$3.35,4.20%,1988.0
1988-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.81451,Republican,Democrat,Democrat,,$3.35,4.20%,1988.0
1988-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.94527,Republican,Democrat,Democrat,,$3.35,4.20%,1988.0
1988-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.04404,Republican,Democrat,Democrat,,$3.35,4.20%,1988.0
1988-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.12003,Republican,Democrat,Democrat,,$3.35,4.20%,1988.0
1989-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.28027,Republican,Democrat,Democrat,,$3.35,3.70%,1989.0
1989-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.29569000000001,Republican,Democrat,Democrat,,$3.35,3.70%,1989.0
1989-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.41478000000001,Republican,Democrat,Democrat,,$3.35,3.70%,1989.0
1989-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.34369000000001,Republican,Democrat,Democrat,,$3.35,3.70%,1989.0
1989-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.39124,Republican,Democrat,Democrat,,$3.35,3.70%,1989.0
1989-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.57095,Republican,Democrat,Democrat,,$3.35,3.70%,1989.0
1989-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.59119,Republican,Democrat,Democrat,,$3.35,3.70%,1989.0
1989-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.70403,Republican,Democrat,Democrat,,$3.35,3.70%,1989.0
1989-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.49825,Republican,Democrat,Democrat,,$3.35,3.70%,1989.0
1989-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.58706,Republican,Democrat,Democrat,,$3.35,3.70%,1989.0
1989-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.74308,Republican,Democrat,Democrat,,$3.35,3.70%,1989.0
1989-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.58896999999999,Republican,Democrat,Democrat,,$3.35,3.70%,1989.0
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.48040999999999,Republican,Democrat,Democrat,,$3.80,1.90%,1990.0
1990-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.44901,Republican,Democrat,Democrat,,$3.80,1.90%,1990.0
1990-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.48399,Republican,Democrat,Democrat,,$3.80,1.90%,1990.0
1990-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.32555,Republican,Democrat,Democrat,,$3.80,1.90%,1990.0
1990-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.49494,Republican,Democrat,Democrat,,$3.80,1.90%,1990.0
1990-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.41783000000001,Republican,Democrat,Democrat,,$3.80,1.90%,1990.0
1990-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.28251,Republican,Democrat,Democrat,,$3.80,1.90%,1990.0
1990-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.12161,Republican,Democrat,Democrat,,$3.80,1.90%,1990.0
1990-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.94703,Republican,Democrat,Democrat,,$3.80,1.90%,1990.0
1990-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.93303,Republican,Democrat,Democrat,,$3.80,1.90%,1990.0
1990-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.59189,Republican,Democrat,Democrat,,$3.80,1.90%,1990.0
1990-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.56573,Republican,Democrat,Democrat,,$3.80,1.90%,1990.0
1991-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.36281,Republican,Democrat,Democrat,,$4.25,-0.10%,1991.0
1991-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.20143,Republican,Democrat,Democrat,,$4.25,-0.10%,1991.0
1991-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.07015,Republican,Democrat,Democrat,,$4.25,-0.10%,1991.0
1991-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.21989,Republican,Democrat,Democrat,,$4.25,-0.10%,1991.0
1991-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.86783,Republican,Democrat,Democrat,,$4.25,-0.10%,1991.0
1991-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.04198000000001,Republican,Democrat,Democrat,,$4.25,-0.10%,1991.0
1991-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.98611,Republican,Democrat,Democrat,,$4.25,-0.10%,1991.0
1991-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.76395,Republican,Democrat,Democrat,,$4.25,-0.10%,1991.0
1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.95319,Republican,Democrat,Democrat,,$4.25,-0.10%,1991.0
1991-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.8287,Republican,Democrat,Democrat,,$4.25,-0.10%,1991.0
1991-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.70510999999999,Republican,Democrat,Democrat,,$4.25,-0.10%,1991.0
1991-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.55946,Republican,Democrat,Democrat,,$4.25,-0.10%,1991.0
1992-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83586,Republican,Democrat,Democrat,,$4.25,3.50%,1992.0
1992-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.66775,Republican,Democrat,Democrat,,$4.25,3.50%,1992.0
1992-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.70174,Republican,Democrat,Democrat,,$4.25,3.50%,1992.0
1992-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.86639,Republican,Democrat,Democrat,,$4.25,3.50%,1992.0
1992-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.81245,Republican,Democrat,Democrat,,$4.25,3.50%,1992.0
1992-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.95419,Republican,Democrat,Democrat,,$4.25,3.50%,1992.0
1992-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.10919,Republican,Democrat,Democrat,,$4.25,3.50%,1992.0
1992-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.91855,Republican,Democrat,Democrat,,$4.25,3.50%,1992.0
1992-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.76061999999999,Republican,Democrat,Democrat,,$4.25,3.50%,1992.0
1992-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.6317,Republican,Democrat,Democrat,,$4.25,3.50%,1992.0
1992-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.66599000000001,Republican,Democrat,Democrat,,$4.25,3.50%,1992.0
1992-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.78416,Republican,Democrat,Democrat,,$4.25,3.50%,1992.0
1993-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.85103000000001,Democrat,Democrat,Democrat,Democrat,$4.25,2.80%,1993.0
1993-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.95681,Democrat,Democrat,Democrat,Democrat,$4.25,2.80%,1993.0
1993-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.01007,Democrat,Democrat,Democrat,Democrat,$4.25,2.80%,1993.0
1993-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.93478,Democrat,Democrat,Democrat,Democrat,$4.25,2.80%,1993.0
1993-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.19615999999999,Democrat,Democrat,Democrat,Democrat,$4.25,2.80%,1993.0
1993-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.34239000000001,Democrat,Democrat,Democrat,Democrat,$4.25,2.80%,1993.0
1993-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.33969,Democrat,Democrat,Democrat,Democrat,$4.25,2.80%,1993.0
1993-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.38101999999999,Democrat,Democrat,Democrat,Democrat,$4.25,2.80%,1993.0
1993-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.19997,Democrat,Democrat,Democrat,Democrat,$4.25,2.80%,1993.0
1993-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.21941,Democrat,Democrat,Democrat,Democrat,$4.25,2.80%,1993.0
1993-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.45024000000001,Democrat,Democrat,Democrat,Democrat,$4.25,2.80%,1993.0
1993-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.59806,Democrat,Democrat,Democrat,Democrat,$4.25,2.80%,1993.0
1994-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.55933,Democrat,Democrat,Democrat,Democrat,$4.25,4.00%,1994.0
1994-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.67239000000001,Democrat,Democrat,Democrat,Democrat,$4.25,4.00%,1994.0
1994-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.56922,Democrat,Democrat,Democrat,Democrat,$4.25,4.00%,1994.0
1994-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.65165999999999,Democrat,Democrat,Democrat,Democrat,$4.25,4.00%,1994.0
1994-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.96696,Democrat,Democrat,Democrat,Democrat,$4.25,4.00%,1994.0
1994-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.82497,Democrat,Democrat,Democrat,Democrat,$4.25,4.00%,1994.0
1994-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.85639,Democrat,Democrat,Democrat,Democrat,$4.25,4.00%,1994.0
1994-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.10694000000001,Democrat,Democrat,Democrat,Democrat,$4.25,4.00%,1994.0
1994-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.23763000000001,Democrat,Democrat,Democrat,Democrat,$4.25,4.00%,1994.0
1994-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.4297,Democrat,Democrat,Democrat,Democrat,$4.25,4.00%,1994.0
1994-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.59338000000001,Democrat,Democrat,Democrat,Democrat,$4.25,4.00%,1994.0
1994-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.65655,Democrat,Democrat,Democrat,Democrat,$4.25,4.00%,1994.0
1995-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.56625,Democrat,Republican,Republican,,$4.25,2.70%,1995.0
1995-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.71523,Democrat,Republican,Republican,,$4.25,2.70%,1995.0
1995-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.67902,Democrat,Republican,Republican,,$4.25,2.70%,1995.0
1995-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.60472,Democrat,Republican,Republican,,$4.25,2.70%,1995.0
1995-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.41298,Democrat,Republican,Republican,,$4.25,2.70%,1995.0
1995-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.44603000000001,Democrat,Republican,Republican,,$4.25,2.70%,1995.0
